toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
abyssales,,abyssaux‧ales,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,185
abyssin,,abyssin‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,186
abyssinien,abyssinien‧ne,abyssinien‧ne,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,187
abyssins,,abyssins,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,188
acadien,acadien‧ne,acadien‧ne,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,189
acariâtres,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,190
accablant,,accablant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,191
accablante,,accablant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,192
accablantes,,accablant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,193
accablants,,accablant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,194
accablé,accablé‧e,accablé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,195
accablée,accablé‧e,accablé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,196
accablées,accablé‧e‧s,accablé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,197
accablés,accablé‧e‧s,accablé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,198
accaparant,,accaparant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,199
accaparante,,accaparant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,200
accapareur,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,201
accélérant,,accélérant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,202
accélérants,,accélérant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,203
accélérateur,,accélérateur‧trice,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,204
accélérateurs,,accélérateur‧trice‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,205
accélératrice,,accélérateur‧trice,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,206
accéléré,accéléré‧e,accéléré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,207
accélérés,accéléré‧e‧s,accéléré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,208
accentué,accentué‧e,accentué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,209
accentuée,accentué‧e,accentué‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,210
accentuées,accentué‧e‧s,accentué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,211
accentués,accentué‧e‧s,accentué‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,212
accidenté,accidenté‧e,accidenté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,213
accidentée,accidenté‧e,accidenté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,214
accidentées,accidenté‧e‧s,accidenté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,215
accidentel,,accidentel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,216
accidentelle,,accidentel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,217
accidentelles,,accidentel‧le‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,218
accidentels,,accidentel‧le‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,219
accidentés,accidenté‧e‧s,accidenté‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,220
accolée,accolé‧e,accolé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,221
accolées,accolé‧e‧s,accolé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,222
accolés,accolé‧e‧s,accolé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,223
accommodant,,accommodant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,224
accommodante,,accommodant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,225
accommodantes,,accommodant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,226
accommodants,,accommodant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,227
accommodatrices,,accommodateur‧trice‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,228
accompagnant,,accompagnant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,229
accompagné,accompagné‧e,accompagné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,230
accompagnée,accompagné‧e,accompagné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,231
accompagnées,accompagné‧e‧s,accompagné‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,232
accompagnés,accompagné‧e‧s,accompagné‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,233
accompli,,accompli‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,234
accomplie,,accompli‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,235
accomplies,,accompli‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,236
accomplis,,accompli‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,237
accore,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,238
accort,,accort‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,239
accorte,,accort‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,240
accortes,,accort‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,241
accorts,,accort‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,242
accostant,,accostant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,243
accouchant,,accouchant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,244
accoudé,accoudé‧e,accoudé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,245
accoudée,accoudé‧e,accoudé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,246
accoudés,accoudé‧e‧s,accoudé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,247
accoutré,accoutré‧e,accoutré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,248
accoutrée,accoutré‧e,accoutré‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,249
accoutrés,accoutré‧e‧s,accoutré‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,250
accoutumé,accoutumé‧e,accoutumé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,251
accoutumée,accoutumé‧e,accoutumé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,252
accoutumées,accoutumé‧e‧s,accoutumé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,253
accoutumés,accoutumé‧e‧s,accoutumé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,254
accrédité,accrédité‧e,accrédité‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,255
accréditée,accrédité‧e,accrédité‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,256
accrédités,accrédité‧e‧s,accrédité‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,257
accro,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,258
accrochant,,accrochant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,259
accroché,accroché‧e,accroché‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,260
accrochée,accroché‧e,accroché‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,261
